,_id,Legal_Name,Cont_status,Hire_Date,Country,Location,Division,Company,Business_Title,Curr_Level,Annual_Sal,Currency,FTE,Cluster,Concate,min,mid,max,Variation,Var_Percent,Catch_up
0,EID-1006,Amber West,Regular,02/04/2021,Germany,Berlin,Logistics,Adams GmbH,HR Controlling Analyst,L6,61440,EUR,0.6,HR-Operations,BerlinHR-OperationsL6,154400,177500,200700,-92960,-1.513,92960
1,EID-1010,Amy Young,Regular,11/4/2019,Germany,Berlin,Logistics,Adams GmbH,Junior Operations Analyst,L1,42400,EUR,1.0,Logistic-Operations,BerlinLogistic-OperationsL1,41500,47800,54000,900,0.021,0
2,EID-1086,Jaheem Stack,Regular,11/6/2018,Austria,Vienna,People,Adams Coy,Junior Reward Partner,L1,39800,EUR,1.0,Comp&Benefit,ViennaComp&BenefitL1,36000,41400,46800,3800,0.095,0
3,EID-1022,Dada Jaheem,Regular,09/12/2019,Germany,Berlin,Logistics,Adams GmbH,Senior Software Engineer,L3,54225,EUR,0.75,Engineering,BerlinEngineeringL3,72000,82800,93600,-17775,-0.328,17775
4,EID-1027,Julia Bach,Regular,11/11/2021,Germany,Berlin,Logistics,Adams GmbH,Head of People Analytic,L7,132000,EUR,1.0,People-Tech,BerlinPeople-TechL7,193000,221900,250900,-61000,-0.462,61000
5,EID-1293,Aaron Henderson,Regular,2021-11-20,Germany,Hamburg,People,Adams GmbH,CEO Office Assistance,L1,33200,EUR,1.0,Management,HamburgManagementL1,43900,50500,57100,-10700,-0.322,10700
6,EID-1032,Max Ray,Regular,05/12/2020,Spain,Barcelona,Logistics,Adams Coy,Senior Software Engineer,L5,81940,EUR,1.0,Engineering,BarcelonaEngineeringL5,122900,141300,159800,-40960,-0.5,40960
7,EID-1302,Richard Choi,Regular,2005-07-02,Austria,Vienna,People,Adams GmbH,Accounting Specialist,L1,42100,EUR,1.0,Payroll-Patner,ViennaPayroll-PatnerL1,42900,49300,55700,-800,-0.019,800
8,EID-1320,Elaine Thomas,Fixed,2020-06-10,Spain,Barcelona,Operations,Adams Coy,Sales Asistance,L1,34800,EUR,1.0,Sales-Operations,BarcelonaSales-OperationsL1,40100,46100,52100,-5300,-0.152,5300
9,EID-1057,Yasar Bahit,Regular,11/11/2019,Austria,Vienna,Logistics,Adams GmbH,Junior business partner,L2,50000,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL2,58400,67100,75900,-8400,-0.168,8400
10,EID-1058,Yunus Wood,Regular,05/07/2021,Austria,Vienna,Logistics,Adams GmbH,Senior Operations Analyst,L4,71200,EUR,1.0,Warehousing,ViennaWarehousingL4,82600,94900,107300,-11400,-0.16,11400
11,EID-1063,Mary Stack,Regular,05/12/2020,Spain,Barcelona,Logistics,Adams Coy,Head of Operations,L7,130900,EUR,1.0,Logistic-Operations,BarcelonaLogistic-OperationsL7,170000,195500,221000,-39100,-0.299,39100
12,EID-1067,Malik Kabir,Regular,11/6/2019,Austria,Vienna,Logistics,Adams GmbH,Junior business partner,L2,51000,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL2,58400,67100,75900,-7400,-0.145,7400
13,EID-1068,Imran Yakub,Regular,05/05/2021,Germany,Berlin,Logistics,Adams GmbH,Senior Operations Analyst,L4,82000,EUR,1.0,Packaging,BerlinPackagingL4,82200,94500,106900,-200,-0.002,200
