_id,Emp_ID,Legal_Name,Manager_name,Cont_status,Hire_Date,Gender,Country,Location,Company,Division,Business_Title,ELT,PBP,Curr_Level,Cluster,Annual_Sal,Currency,FTE,RoleID,email,Role,Nationality
EID-1001,LL-1001,Adams Nate,Bauer Bahnjin,Regular,02/09/2020,Male,Spain,Barcelona,Adams Coy,Management,People Business Partner,John Dow,Slatan Mary,L5,Barcelona201MAL5,72000,EUR,1,201MA,Adams.Nate@s22.com,PBP,Europe
EID-1002,LL-1002,Alan Rahkay,Zuluban Grey,Regular,02/04/2020,Male,Germany,Berlin,Adams GmbH,Technology,Junior Software Engineer,Yusuf Ibraheem,Sarah Clark,L2,Berlin200TCL2,54300,EUR,1,200TC,Alan.Rahkay@s22.com,User,North America
EID-1003,LL-1003,Alimah Abu,Bach Sahin,Regular,01/02/2022,Female,Germany,Berlin,Adams GmbH,Productions,Lead Researcher,Imran Garba,Barry Ben,L6,Berlin203PRL6,81100,EUR,1,203PR,Alimah.Abu@s22.com,User,Africa
EID-1004,LL-1004,Aliu Alahusa,Holland Zola,Regular,09/07/2022,Male,Austria,Vienna,Adams GmbH,Operations,Junior Business Partner,Bauer Saunderland,Shay Wood,L2,Vienna175OPL2,55300,EUR,1,175OP,Aliu.Alahusa@s22.com,PBP,North America
EID-1005,LL-1005,Amadou Bala,Holland Zola,Regular,09/07/2022,Male,Germany,Berlin,Adams GmbH,Operations,Junior Business Partner,Bauer Saunderland,Shay Wood,L2,Berlin175OPL2,51200,EUR,1,175OP,Amadou.Bala@s22.com,PBP,Asia
EID-1006,LL-1006,Amber West,Henry Kay,Regular,02/04/2021,Male,Germany,Berlin,Adams GmbH,Logistics,HR Controlling Analyst,Funmi Iyanda,Dude Sahin,L6,Berlin177HRL6,61440,EUR,0.6,133LG,Amber.West@s22.com,User,Asia
EID-1007,LL-1007,Amid Khan,Holland Zola,Regular,05/02/2021,Male,Spain,Barcelona,Adams Coy,Operations,Junior Operations Analyst,Bauer Saunderland,Shay Wood,L3,Barcelona175OPL3,58400,EUR,1,175OP,Amid.Khan@s22.com,User,North America
EID-1008,LL-1008,Amin Bayero,Bach Sahin,Regular,09/04/2021,Male,Germany,Berlin,Adams GmbH,Productions,Lead Researcher,Imran Garba,Barry Ben,L6,Berlin203PRL6,81100,EUR,1,203PR,Amin.Bayero@s22.com,User,North America
EID-1009,LL-1009,Amy Rudd,Ray Martins,Regular,09/12/2020,Female,Austria,Vienna,Adams GmbH,Productions,Product Designer ,Imran Garba,Barry Ben,L2,Vienna203PRL2,54000,EUR,1,203PR,Amy.Rudd@s22.com,User,Asia
EID-1010,LL-1010,Amy Young,Arsene Wenger,Regular,11/4/2019,Female,Germany,Berlin,Adams GmbH,Logistics,Junior Operations Analyst,Funmi Iyanda,Dude Sahin,L1,Berlin177HRL1,42400,EUR,1,133LG,Amy.Young@s22.com,User,North America
EID-1011,LL-1011,Asanti Gasa,Khadija West,Regular,11/10/2019,Male,Spain,Barcelona,Adams Coy,Technology,Data Analyst ,Yusuf Ibraheem,Sarah Clark,L1,Barcelona200TCL1,34700,EUR,1,200TC,Asanti.Gasa@s22.com,User,Asia
EID-1012,LL-1012,Barker Ray,Uluoa Sarjiz,Regular,05/11/2021,Male,Germany,Berlin,Adams GmbH,Management,Senior Business Partner,John Dow,Slatan Mary,L4,Berlin201MAL4,68400,EUR,1,201MA,Barker.Ray@s22.com,User,North America
EID-1013,LL-1013,Barry Ben,Alimah Abu,Regular,06/07/2021,Male,Spain,Barcelona,Adams Coy,Productions,People Business Partner,Imran Garba,Barry Ben,L4,Barcelona203PRL4,75000,EUR,1,203PR,Barry.Ben@s22.com,PBP,Europe
EID-1014,LL-1014,Bauer Sunderland,Shaw David,Regular,08/05/2021,Male,Spain,Barcelona,Adams Coy,Operations,IT Support Manager,Bauer Sunderland,Shay Wood,L6,Barcelona175OPL6,86500,EUR,1,175OP,Bauer.Sunderland@s22.com,PBP,Asia
EID-1015,LL-1015,Bauer White,Boris Brown,Regular,11/11/2020,Male,Germany,Berlin,Adams GmbH,People,Senior Reward Partner,Sola Ameobi,Bauer White,L4,Berlin177HRL4,81200,EUR,1,177HR,Bauer.White@s22.com,PBP,Asia
EID-1016,LL-1016,Bola Akeem,Shaw David,Regular,12/10/2020,Female,Spain,Barcelona,Adams Coy,Productions,Product Team Leader,Imran Garba,Barry Ben,L4,Barcelona203PRL4,69200,EUR,1,203PR,Bola.Akeem@s22.com,User,North America
EID-1017,LL-1017,Bola Aminu,Müller Mikail,Regular,05/11/2021,Female,Spain,Barcelona,Adams Coy,Technology,Junior Software Engineer,Yusuf Ibraheem,Sarah Clark,L2,Barcelona200TCL2,42300,EUR,1,200TC,Bola.Aminu@s22.com,User,North America
EID-1018,LL-1018,Bola Tinubu,Müller Ibraheem,Regular,01/05/2018,Female,Germany,Berlin,Adams GmbH,Operations,Senior People Buniness Partner,Bauer Saunderland,Shay Wood,L6,Berlin175OPL6,101900,EUR,1,175OP,Bola.Tinubu@s22.com,PBP,Africa
EID-1019,LL-1019,Boris Brown,Walker Becky,Regular,12/04/2021,Male,Austria,Vienna,Adams GmbH,People,Operations Assistance,Sola Ameobi,Bauer White,L6,Vienna177HRL6,120800,EUR,1,177HR,Boris.Brown@s22.com,User,Asia
EID-1020,LL-1020,Callum Rue,Shaw David,Regular,11/4/2020,Male,Austria,Vienna,Adams Coy,Operations,Junior Business Partner,Bauer Saunderland,Shay Wood,L1,Vienna175OPL1,45400,EUR,1,175OP,Callum.Rue@s22.com,PBP,Asia
